Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports
Africa Eastern and Southern,10.90700095,4315007316,20.08600661,66.53333333,5.762733464,12.5789843,26.89144197,2.84E+11,3.197142701,11.11730588,7.724844286,71.33071355,51.27612888,7.523185304
Africa Western and Central,0.119237217,2560188712,34.65801135,78.35,0.603515154,21.21770129,32.10997932,1.40E+11,3.734635293,5.28980486,4.921423164,64.64701867,49.21971381,6.131741156
Angola,33.81,878620000,32,52.2,1.284452935,5.664689564,72.12295494,9129634978,3.054624234,418.0189915,4.03000021,49.913,46.522,2.544006078
Albania,64.01,143000000,100,58.6,4.119434772,24.51541204,19.39568914,3480355258,6.946216585,5.647471475,19.02799988,58.259,73.955,21.47670888
Arab World,11.82635061,3840491004,78.87247574,58.34444444,6.213191122,8.649374304,46.69936612,8.16E+11,6.599485067,10.44234504,12.59610141,47.01069831,67.80059145,1.647300213
United Arab Emirates,182.39,-506329999.9,100,14.4,91.81288697,2.262650093,48.51701163,1.04E+11,10.85270421,11.4595358,2.25,19.764,74.327,0
Argentina,69.34,10418314339,95.44536591,107.3,25.20321131,4.679910944,25.99083601,2.84E+11,-0.788998939,1.037287101,15,10.858,73.576,16.51102966
Armenia,46.73,104188500,98.9,36.6,10.42639072,3.114903237,28.28480203,1911563669,5.900000003,-1.373675998,11.04800034,35.334,71.409,5.679793969
Antigua and Barbuda,139.43,43115925.93,97.45578003,51.5,681.585823,1.59689853,13.89073144,826370370.4,6.203431254,1.553300159,4.690000057,67.873,73.94,2.242058668
Australia,86.95,14892978180,100,52.1,1402.793695,3.114903237,24.5903869,4.16E+11,3.912427733,2.558021881,6.28000021,15.765,79.23414634,10.26985249
Austria,95.64,8501013451,100,57.2,690.1496089,1.647300213,28.28480203,1.97E+11,3.375722147,1.364040914,4.690000057,39.787,78.12682927,0
Azerbaijan,53.41,129937000,98.90822245,46.4,2.540220526,16.08486467,42.53830991,5272798391,11.0999995,12.49277345,11.77999973,48.614,66.763,6.819819384
Burundi,76.99,11683246.08,2.439689159,280.2,0.461062893,44.10704011,15.53957069,870486065.9,-0.856864058,38.9448932,1.590000033,91.754,49.091,1.647300213
Belgium,98.36,88738714000,100,60.1,401.8140924,1.17600528,24.94383258,2.36E+11,3.716679384,2.014617387,6.590000153,2.871,77.72195122,2.242058668
Benin,54.8,-12794843.61,21.5398941,65.7,0.108704467,23.54123399,18.75634821,3519991326,5.857714205,4.341055664,0.851000011,61.667,55.391,7.047215786
Burkina Faso,52.25,23107520.48,9.071893692,47.6,0.256324634,24.91403646,21.87075455,2968369991,1.888473889,-0.819773185,2.605000019,82.156,50.489,0
Bangladesh,63.16,280384629.7,32,42.8,0.203285868,22.71814808,22.27938268,53369787319,5.293294718,3.44665935,3.269999981,76.41,65.447,4.869155828
Bulgaria,94.02,1001503842,100,45.2,62.3343694,10.97048275,22.67758379,13245833844,4.587225342,7.380852358,16.21999931,31.101,71.66341463,9.961158455
Bahrain,46.75,363562321.9,100,47.6,74.94777832,24.91403646,33.47894633,9062898936,5.300070056,29.99127655,1.083999991,11.628,74.44,8.281287454
"Bahamas, The",64.01,250250000,100,34.7,366.2632136,1.344646857,12.14887197,8076470000,4.149234046,0.921917928,7.201000214,17.993,71.914,11.56614974
Bosnia and Herzegovina,65.57,146075610.9,100,42.8,11.87431149,9.001464072,21.53739142,5567405599,12.76546946,21.83624288,25.78300095,57.616,74.403,2.212970342
Belarus,71.03,118800000,100,137.2,5.061243151,12.09682717,33.47894633,12738912134,5.80000344,185.2907607,12.26200008,30.027,68.91219512,3.243640757
Belize,94.03,29564651.92,79,34.7,213.9767107,14.64928925,18.53630053,832072450,13.01957737,0.475944593,10.85099983,54.602,68.847,7.454288671
Bolivia,54.35,736350000,69.963045,80,5.771950054,12.96581268,25.73902396,8397912509,2.507807553,5.19540791,2.378000021,38.213,62.452,5.582720517
Brazil,56.62,32994718700,94.36400604,47.5,28.2504586,4.750459972,23.00661863,6.55E+11,4.387949444,5.606065153,9.56099987,18.808,70.116,6.234045684
