Country_Name,Food_production_index_2000,Foreign_direct_investmen_2000,Acces_to_electricity_2000,Total_tax_and_contribution_rate_2000 ,Secure_Internet_servers_2000,Agriculture_forestry_and_fishing_value_added_2000 ,Industry_value added_percentof_gdp_2000,GDP_2000 ,GDP_growth_2000 ,Inflation_GDP_deflator_annual_2000,Unemployment_total_percent_of_total_labor_force_2000,Rural_population_percent_of_total_population_2000,Life_expectancy_at_birth_total_years_2000,International_tourism_expenditures_percent_of_total_imports_2000,Food_production_index_2018,Foreign_direct_investmen_2018,Acces_to_electricity_2018,Total_tax_and_contribution_rate_2018 ,Secure_Internet_servers_2018,Agriculture_forestry_and_fishing_value_added_2018 ,Industry_value added_percentof_gdp_2018,GDP_2018,GDP_growth_2018 ,Inflation_GDP_deflator_annual_2018,Unemployment_total_percent_of_total_labor_force_2018,Rural_population_percent_of_total_population_2018,Life_expectancy_at_birth_total_years_2018,International_tourism_expenditures_percent_of_total_imports_2018
Africa Eastern and Southern,10.90700095,4315007316,20.08600661,66.53333333,5.762733464,12.5789843,26.89144197,2.84E+11,3.197142701,11.11730588,7.724844286,71.33071355,51.27612888,7.523185304,101.42,14449631530,42.16824107,43.212,1164.559933,11.9876753,27.07659125,1.01E+12,2.475271736,4.095047399,6.731162734,64.19222988,63.64898804,4.785256272
Africa Western and Central,0.119237217,2560188712,34.65801135,78.35,0.603515154,21.21770129,32.10997932,1.40E+11,3.734635293,5.28980486,4.921423164,64.64701867,49.21971381,6.131741156,100.56,15501756263,51.25325261,50.69545455,89.70735043,20.93140611,26.43711565,7.42E+11,2.952230313,2.639371706,6.04109242,53.36686172,57.76234679,11.25377315
Angola,33.81,878620000,32,52.2,1.284452935,5.664689564,72.12295494,9129634978,3.054624234,418.0189915,4.03000021,49.913,46.522,2.544006078,99.02,-6456076413,45.29,49.1,11.19774051,8.607741762,47.93154163,1.01E+11,-2.003629727,29.06595449,7.421000004,34.486,60.782,2.943521971
Albania,64.01,143000000,100,58.6,4.119434772,24.51541204,19.39568914,3480355258,6.946216585,5.647471475,19.02799988,58.259,73.955,21.47670888,106.13,1204383364,100,37.3,526.0998557,18.42947925,21.27930613,15156432310,4.019359686,1.473058102,12.30000019,39.681,78.458,25.53146747
Arab World,11.82635061,3840491004,78.87247574,58.34444444,6.213191122,8.649374304,46.69936612,8.16E+11,6.599485067,10.44234504,12.59610141,47.01069831,67.80059145,1.647300213,101.31,33766670547,88.30632443,42.74761905,136.7243731,4.448360535,43.97511144,2.73E+12,2.397753222,7.979181856,10.50233556,41.07340495,71.80707511,9.785626115
United Arab Emirates,182.39,-506329999.9,100,14.4,91.81288697,2.262650093,48.51701163,1.04E+11,10.85270421,11.4595358,2.25,19.764,74.327,0,110.44,10385286000,100,15.9,1483.963291,0.718738961,47.0329279,4.22E+11,1.189855642,8.206537292,2.351999998,13.478,77.814,6.306664389
Argentina,69.34,10418314339,95.44536591,107.3,25.20321131,4.679910944,25.99083601,2.84E+11,-0.788998939,1.037287101,15,10.858,73.576,16.51102966,97.2,11716769819,100,106,1872.59091,4.537878897,23.71959233,5.25E+11,-2.617396463,42.03366896,9.220000267,8.13,76.52,15.06997195
Armenia,46.73,104188500,98.9,36.6,10.42639072,3.114903237,28.28480203,1911563669,5.900000003,-1.373675998,11.04800034,35.334,71.409,5.679793969,82.88,266824955.5,99.9,18.5,335.0564972,13.94231166,24.75655785,12457941907,5.2,2.787709514,18.96999931,36.851,74.945,20.10078239
Antigua and Barbuda,139.43,43115925.93,97.45578003,51.5,681.585823,1.59689853,13.89073144,826370370.4,6.203431254,1.553300159,4.690000057,67.873,73.94,2.242058668,100.56,204844928.2,99.99972534,42.8,841.2787437,1.735911717,21.1069983,1605944444,6.883640817,2.352816325,2.625999928,75.401,76.885,9.797813288
Australia,86.95,14892978180,100,52.1,1402.793695,3.114903237,24.5903869,4.16E+11,3.912427733,2.558021881,6.28000021,15.765,79.23414634,10.26985249,96.97,61324623203,100,47.4,32903.58507,2.457803973,24.13993682,1.43E+12,2.87097248,1.830155298,5.300000191,13.988,82.74878049,13.66075663
Austria,95.64,8501013451,100,57.2,690.1496089,1.647300213,28.28480203,1.97E+11,3.375722147,1.364040914,4.690000057,39.787,78.12682927,0,101.86,-28605757320,100,51.5,16705.01094,1.130155508,25.36612216,4.55E+11,2.501595119,1.801930508,4.849999905,41.703,81.69268293,5.904991615
Azerbaijan,53.41,129937000,98.90822245,46.4,2.540220526,16.08486467,42.53830991,5272798391,11.0999995,12.49277345,11.77999973,48.614,66.763,6.819819384,113.36,1402998000,100,41.2,329.383846,5.212505619,52.25053688,47112941176,1.5,12.18487696,4.900000095,44.32,72.864,13.85468754
Burundi,76.99,11683246.08,2.439689159,280.2,0.461062893,44.10704011,15.53957069,870486065.9,-0.856864058,38.9448932,1.590000033,91.754,49.091,1.647300213,120.64,983747.125,10.59861469,41.2,5.995322396,29.01190049,11.10721706,2668495743,1.609933082,-2.850857066,1.587000012,86.968,61.247,15.20177688
Belgium,98.36,88738714000,100,60.1,401.8140924,1.17600528,24.94383258,2.36E+11,3.716679384,2.014617387,6.590000153,2.871,77.72195122,2.242058668,97.72,-41601387267,100,57.7,13973.2428,0.603070152,18.93257257,5.43E+11,1.819203664,1.518919988,5.949999809,1.999,81.59512195,4.596352546
Benin,54.8,-12794843.61,21.5398941,65.7,0.108704467,23.54123399,18.75634821,3519991326,5.857714205,4.341055664,0.851000011,61.667,55.391,7.047215786,108.98,194073683.2,39.23860168,48.9,7.313865391,28.06477391,14.64195675,14262407012,6.697259461,0.670442105,1.470000029,52.688,61.47,1.627874073
Burkina Faso,52.25,23107520.48,9.071893692,47.6,0.256324634,24.91403646,21.87075455,2968369991,1.888473889,-0.819773185,2.605000019,82.156,50.489,0,103.58,268414907.9,14.4,41.3,2.531457665,20.99747328,25.58944338,15890065020,6.604569068,1.07396689,4.690000057,70.642,61.174,3.69658719
Bangladesh,63.16,280384629.7,32,42.8,0.203285868,22.71814808,22.27938268,53369787319,5.293294718,3.44665935,3.269999981,76.41,65.447,4.869155828,109.07,2421626238,91.8,33.4,115.9522936,13.07431266,28.53698765,2.74E+11,7.86375358,5.597386853,4.413000107,63.368,72.32,1.840353977
Bulgaria,94.02,1001503842,100,45.2,62.3343694,10.97048275,22.67758379,13245833844,4.587225342,7.380852358,16.21999931,31.101,71.66341463,9.961158455,103.74,1809860000,100,27.7,38223.85562,3.384615452,22.40471991,66363422450,2.684576131,4.232654424,5.210000038,24.992,74.96341463,5.361579736
Bahrain,46.75,363562321.9,100,47.6,74.94777832,24.91403646,33.47894633,9062898936,5.300070056,29.99127655,1.083999991,11.628,74.44,8.281287454,114.22,111170212.8,100,13.8,370.8329086,0.288039062,42.85970584,37801462766,2.136701347,4.332436919,1.200999975,10.713,77.163,9.276503331
"Bahamas, The",64.01,250250000,100,34.7,366.2632136,1.344646857,12.14887197,8076470000,4.149234046,0.921917928,7.201000214,17.993,71.914,11.56614974,101.14,491404689.2,100,31.5,2357.151192,0.674570409,12.41178395,12837800000,2.76704081,1.071526481,10,16.975,73.752,10.14404269
Bosnia and Herzegovina,65.57,146075610.9,100,42.8,11.87431149,9.001464072,21.53739142,5567405599,12.76546946,21.83624288,25.78300095,57.616,74.403,2.212970342,115.14,601783317.1,100,23.7,1934.758534,5.88543924,24.52345802,20177409351,3.740071092,2.747569582,18.39999962,51.755,77.262,3.271040803
Belarus,71.03,118800000,100,137.2,5.061243151,12.09682717,33.47894633,12738912134,5.80000344,185.2907607,12.26200008,30.027,68.91219512,3.243640757,98.66,1426500000,100,53.3,3436.883031,6.590107726,31.26560971,60031262269,3.149197594,12.13922998,4.760000229,21.405,74.17560976,2.830277682
Belize,94.03,29564651.92,79,34.7,213.9767107,14.64928925,18.53630053,832072450,13.01957737,0.475944593,10.85099983,54.602,68.847,7.454288671,100.02,122041647,91.72,31.1,11595.76162,9.557798965,11.98524587,1915899787,2.906069731,0.175679575,6.644000053,54.276,74.496,4.32865446
Bolivia,54.35,736350000,69.963045,80,5.771950054,12.96581268,25.73902396,8397912509,2.507807553,5.19540791,2.378000021,38.213,62.452,5.582720517,109.64,302368781.4,92.8,83.7,130.1842486,11.48192416,26.24658947,40287647930,4.223623511,3.056265908,3.519999981,30.575,71.239,8.142733047
Brazil,56.62,32994718700,94.36400604,47.5,28.2504586,4.750459972,23.00661863,6.55E+11,4.387949444,5.606065153,9.56099987,18.808,70.116,6.234045684,107.66,78162724370,99.7,65.1,2036.384135,4.420399304,18.74905145,1.92E+12,1.783666761,4.493534332,12.32999992,13.431,75.672,8.309271619
Barbados,119.77,73696943.91,100,65.7,187.855996,1.995424089,15.30642262,3059500000,4.447189623,-1.322839151,9.350000381,66.173,77.162,9.680292946,107.81,241596499.9,100,35.3,868.6854591,23.0027856,36.74276972,5086500000,-0.580333154,2.776033594,8.319999695,68.853,79.081,6.306664389
Brunei Darussalam,55.57,549607250.7,100,17.1,41.16984103,1.024413492,63.66977334,6001153306,2.849421858,29.01570917,5.677999973,28.836,72.809,0,100.01,516202620.6,100,8,1988.530399,1.017623081,63.24364516,13567351175,0.052237791,9.217653488,8.699999809,22.371,75.722,10.29621983
Bhutan,79.26,66900000,31.15,37.3,1.458784949,24.26719528,36.43680288,424464089.9,3.355068285,7.350196168,1.593000054,74.582,60.884,0,102.37,2649454.311,99.96877289,35.3,177.6255441,15.99124824,38.20346089,2446866405,3.055129837,1.759330695,2.444000006,59.105,71.46,6.327688361
Botswana,95.15,57171341.35,27.27221298,17.1,4.529199751,2.794699789,46.30065457,5788329609,1.987695854,14.17096689,15.88000011,46.781,50.629,9.006647909,97.19,285955061.9,68.35865784,25.1,133.5364033,2.055350722,35.04239668,16914245098,3.98039539,-0.331891492,22.07099915,30.554,69.275,3.780021698
Central African Republic,76.82,889074.9,6,65.7,7.067524962,3.932985731,46.40484826,914500299.1,-2.48943244,8.506601078,5.609000206,62.361,44.19,0,107.25,18003535.46,14.6539526,73.3,0.642897324,31.24133151,20.55575596,2220978978,3.789443593,-1.224117158,5.605000019,58.636,52.805,6.306664389
Canada,77.58,68303350856,100,47.5,1282.697909,2.091653007,29.50003752,7.45E+11,4.917762744,4.593831662,6.829999924,20.522,79.13658537,5.276957066,106.26,42603762049,100,20.5,30947.02526,1.699891576,24.62230596,1.73E+12,2.777040554,1.61741439,5.829999924,18.589,82.04878049,15.20177688
Central Europe and the Baltics,0.161715817,23562956308,100,44.93636364,150.2756421,4.355030785,28.88494529,4.28E+11,3.955414767,5.565267655,12.43357487,38.52381264,72.71972472,5.464958023,101.31,-21194240711,100,38.46363636,21419.37955,2.774372677,27.71284269,1.65E+12,4.491186349,3.526212136,4.316407385,37.6663334,76.97682268,3.774788354
Switzerland,97.35,23080879763,100,28.8,1449.601523,1.0515353,25.54183704,2.80E+11,3.976409234,1.356847618,2.670000076,26.617,79.6804878,6.087658105,99.57,-1.60E+11,100,28.8,68154.75418,0.635024356,24.67038266,7.36E+11,2.916905098,0.748408212,4.710000038,26.203,83.75365854,5.272124879
Chile,73.04,4860015668,97.938687,25.3,46.30028218,5.377918724,31.42229659,77860932152,5.326938419,4.271839188,10.48999977,13.927,76.366,4.129155057,101.63,7759647365,100,34,8073.29061,3.545663582,29.38910087,2.98E+11,3.713859177,2.360583375,7.230000019,12.436,80.042,3.670676311
China,65.96,42095300000,96.93087006,50.6,1.199068554,14.67624166,45.53610318,1.21E+12,8.490093406,2.062792614,3.25999999,64.123,71.397,8.791564714,103.09,2.35E+11,100,64,443.5127891,7.043020253,39.68701182,1.39E+13,6.749773832,3.499747636,4.28000021,40.848,76.704,3.519927912
Cote d'Ivoire,66.31,234701731.5,48.67458344,53.4,0.535724444,16.19515451,13.93680252,16577533355,-0.265789464,1.60101729,4.584000111,56.845,49.635,0,109.13,620330654.4,67.17237091,50.1,11.64774692,20.54857036,21.0205173,58011466451,6.89028432,0.634843913,3.292999983,49.221,57.422,4.740925789
Cameroon,45.45,159708006.2,41,50.6,0.344128548,18.11774246,28.48270099,10566578953,3.832417795,1.531562958,7.59100008,54.458,50.993,9.614278331,103.49,765092012.8,62.2,57.7,5.433002141,16.4988007,24.68223121,39973839065,3.95551424,1.896991621,3.617000103,43.626,58.921,10.8637484
"Congo, Dem. Rep.",50.8,94190399.9,6.7,288.2,0.061954171,31.97235827,22.4057063,19088046306,-6.910927317,2630.122674,2.904000044,64.878,50.041,0,92.24,1407563588,18.75225258,54.6,2.81914332,19.05648456,43.6426229,47146004587,5.8211211,29.83589587,4.451000214,55.54,60.368,0.646996732
"Congo, Rep.",60.06,-97897925.12,100,64.5,0,5.304252999,72.15267176,3227927593,7.575980395,47.04008308,19.89500046,41.305,52.123,4.942988084,103.1,4315250918,47.22546768,54.3,6.101789674,6.909114704,52.10485927,13670036996,-4.805351557,23.81107853,20.61400032,33.084,64.29,6.306664389
Colombia,71.61,2436459923,95.2,86.7,10.50357476,8.305719533,27.30577228,99886577331,2.924861483,33.67537051,20.52000046,26.043,72.945,10.02901082,105.1,11298692774,98.5,71.9,651.174232,6.22570969,26.89546675,3.34E+11,2.564324283,4.630579673,9.109999657,19.222,77.109,8.60451441
